,tag,type,author,doi,journal,pages,title,volume,year,publisher,url,institution,number,mendeley-tags,booktitle,edition,month,address,editor,arc-citations,arc-source
127,Langtangen2008,article,"Langtangen, Hans Petter",10.1007/978-3-540-73916-6,,,{Python Scripting for Computational Science},3,2008,Springer Berlin Heidelberg,http://www.springerlink.com/index/10.1007/978-3-540-73916-6,,,,,,,"Berlin, Heidelberg","Langtangen, Hans Petter",0,mendeley
128,Fung1998,article,"Fung, Hung-gay and Patterson, Gary A. and Witt, Robert Charles",,The Journal of Risk and Insurance,539--561,{Underwriting Cycles in Property and Liability Insurance: An Empirical Analysis of Industry and By-Line},65,1998,,http://www.jstor.org/stable/253802,,4,,,,,,,0,mendeley
129,Peters2017,article,"Peters, Ole and Adamou, Alexander",,,1--27,{Insurance makes wealth grow faster},,2017,,,,,Peters,,,,,,0,mendeley
130,Asimit2013a,article,"Asimit, Alexandru V. and Vernic, Raluca and Zitikis, Riċardas",10.3390/risks1010014,Risks,14--33,{Evaluating Risk Measures and Capital Allocations Based on Multi-Losses Driven by a Heavy-Tailed Background Risk: The Multivariate Pareto-II Model},1,2013,,,,1,,,,,,,0,mendeley
131,Gottlieb2012,article,"Gottlieb, Daniel and Smetters, Kent",,,,{Narrow Framing and Life Insurance},,2012,,http://www.nber.org/papers/w18601,,,,,,,,,0,mendeley
132,Crouhy2010,article,"Crouhy, Michel and Galai, Dan and Mark, Robert",,Encyclopedia of Quantitative Finance,,{Risk Exposures},,2010,,,,,,,,,,,0,mendeley
133,Kahane1979,article,"Kahane, Yehuda",10.1017/S051503610000653X,ASTIN Bulletin,223--239,{The theory of insurance risk premiums—a re-examination in the light of recent developments in capital market theory},10,1979,,,,2,,,,,,,0,mendeley
134,Ellingson2016,article,"Ellingson, T. Kent",,Preprint,1--19,{Full Distribution Pricing Using the Comprehensive Risk Measure},,2016,,,,,"Reviewed,Risk Measures",,,,,,0,mendeley
135,Taylor2016,book,"Taylor, Greg and McGuire, Graninne",,,,{Stochastic Loss Reserving Using Generalized Linear Models},,2016,CAS MONOGRAPH SERIES,http://www.casact.org/pubs/monographs/papers/01-Meyers.PDF,,3,,"ASTIN Colloquium, May",,,,,0,mendeley
136,Laeven2013,article,"Laeven, R. J. A. and Stadje, Mitja",10.1287/moor.1120.0559,Mathematics of Operations …,265--293,{Entropy coherent and entropy convex measures of risk},38,2013,,http://pubsonline.informs.org/doi/abs/10.1287/moor.1120.0559,,2,Risk Measures,,,may,,,0,mendeley
137,Dutang2013,article,"Dutang, Christophe",,,1--44,{A survey of GNE computation methods : theory and algorithms Problem reformulations},,2013,,,,,,,,,,,0,mendeley
138,Rating2014,article,"Rating, Credit and Information, General and Guide, Rating and Resources, Additional Online and News, Related and Activity, Rating and Overview, Company and Changes, Corporate",,,1--29,{Aetna Inc . Group},,2014,,,,,,,,,,,0,mendeley
139,Lee2011,article,"Lee, Chien Chiang",,B.E. Journal of Macroeconomics,,{Does insurance matter for growth: Empirical evidence from OECD countries},,2011,,,,,,,,,,,0,mendeley
140,Dhaene2023,article,"Dhaene, Jan and Linders, Daniël and Ling, Biwen and Wang, Qian",10.2139/ssrn.4562272,SSRN Electronic Journal,1--33,{Understanding the Correlation Risk Premium},,2023,,,,,,,,,,,0,mendeley
141,Makarov1982,article,"Makarov, G. D.",10.1137/1126086,Theory of Probability & Its Applications,803--806,{Estimates for the Distribution Function of a Sum of Two Random Variables When the Marginal Distributions are Fixed},26,1982,,,,4,,,,,,,0,mendeley
142,Radford1945,misc,"Radford, R. A.",,,189--201,{The economic organization of a P.O.W. camp},,1945,,http://www.jstor.org/stable/2550133,,,,Economica,,,,,0,mendeley
143,Stein1987,article,"Stein, Gillian Z. and Zucchini, Walter and Juritz, June M.",10.1080/01621459.1987.10478520,Journal of the American Statistical Association,938--944,{Parameter Estimation for the Sichel Distribution and Its Multivariate Extension},82,1987,,,,,,,,,,,0,mendeley
144,Rosinski2011,article,"Rosiński, Jan",,,,{Infinitely Divisible Processes},,2011,,,,,,,,,,,0,mendeley
145,Rockafellar1997,article,"Rockafellar, R. Tyrrell and Uryasev, Stanislav",10.2307/1165345,Journal of Risk,21--41,{Optimization of conditional value-at-risk},2,1997,,,,,"Book,Rockafellar",,,,,,6652,mendeley
146,EllingswortYYYY,article,"Ellingsworth, Martin",10.1111/rmir.12259,Risk Management and Insurance Review,115--120,{Risk management opportunities in auto insurance: A focus on the value of vehicles},27,,,,,1,JRI2024,,,,,,0,mendeley
147,Goldburd2016,book,"Goldburd, Mark and Khare, Anand and Tevet, Dan",10.1017/CBO9780511755408,,,{Generalized linear models for insurance rating},,2016,CAS Monograph Series,,,,"Book,EDM-GLM",CAS Monograph Series No. 5,,,,,0,mendeley
148,Mcchristian2012,article,"Mcchristian, Lynne and Representative, Florida",,,,{HURRICANE ANDREW AND INSURANCE : THE ENDURING IMPACT OF AN},,2012,,,,August,,,,,,,0,mendeley
149,Junus2009,article,"Junus, Novian and Motiwalla, Zohair",,,,{A Discussion of Actuarial Guideline 43 for Variable Annuities},,2009,,http://scholar.google.com/scholar?hl=en&btnG=Search&q=intitle:A+Discussion+of+Actuarial+Guideline+43+for+Variable+Annuities#0,,April,,,,,,,0,mendeley
150,Efron1978,article,"Efron, Bradley",10.1214/aos/1176344130,The Annals of Statistics,362--376,{The Geometry of Exponential Families},6,1978,,http://projecteuclid.org/euclid.aos/1176344130,,2,,,,,,,0,mendeley
151,Bassett2018,article,"Bassett, Robert and Deride, Julio",10.1007/s10107-018-1241-0,Mathematical Programming,1--16,{Maximum a posteriori estimators as a limit of Bayes estimators},,2018,,,,,,,,,,,0,mendeley
152,Koch2017,article,"Koch, Thomas",10.3390/risks5010009,Risks,9,{The Shifting Shape of Risk: Endogenous Market Failure for Insurance},5,2017,,http://www.mdpi.com/2227-9091/5/1/9,,1,Tails,,,,,,0,mendeley
153,Sprin1992,article,"Sprin, Silver",,,,"{SLOSH : Sea , Lake , and Over aýd SULirges froý11 Hrrianes}",,1992,,,,April,,,,,,,0,mendeley
154,AonBenfield2009,techreport,{Aon Benfield},,,,{Insurance Risk Study Ed. 4},,2009,,,,,"Aon,Insurance Risk Study",,,,,,0,mendeley
155,Berg2011,article,"Berg, Tobias",10.2139/ssrn.1352342,SSRN Electronic Journal,,{From Actual to Risk-Neutral Default Probabilities: Merton and Beyond},,2011,,,,,,,,,,,0,mendeley
156,Han2024,article,"Han, Xiaoying and Wang, Bin and Wang, Ruodu and Wu, Qinyu",10.1111/mafi.12417,Mathematical Finance,819--846,{Risk concentration and the mean-expected shortfall criterion},34,2024,,,,3,WangR,,,,,,0,mendeley
157,HemmingwayHall2014,techreport,"{Hemmingway Hall}, Patricia",,,,"{Health Care Service Corporation , a Mutual Legal Reserve Company Name, Annual Statement}",,2014,,,,2,,,,,,,0,mendeley
158,Caricchi2014,article,"Caricchi, Luca and Annen, Catherine and Blundy, Jon and Simpson, Guy and Pinel, Virginie",10.1038/ngeo2041,Nature Geoscience,126--130,{Frequency and magnitude of volcanic eruptions controlled by magma injection and buoyancy},7,2014,Nature Publishing Group,http://www.nature.com/ngeo/journal/v7/n2/full/ngeo2041.html%5Cnhttp://www.nature.com/ngeo/journal/v7/n2/pdf/ngeo2041.pdf,,2,,,,,,,0,mendeley
159,Muraviev2018,article,"Muraviev, Rom Aviv Roman",10.1017/asb.2018.10,ASTIN Bulletin,1157--1173,{An extreme-value theory approximation scheme in reinsurance and insurance-linked securities},48,2018,,,,3,,,,,,,0,mendeley
160,Penson2010,article,"Penson, K. A. and Górska, K.",10.1103/PhysRevLett.105.210604,Physical Review Letters,3--6,{Exact and explicit probability densities for one-sided Lévy stable Distributions},105,2010,,,,21,,,,,,,0,mendeley
161,Standard&Poors2019,techreport,{Standard & Poor's},,,1--30,{Enterprise Risk Management Evaluation Framework},,2019,,https://www.spglobal.com/ratings/en/research/articles/190722-enterprise-risk-management-evaluation-framework-11070561,,,CMM,,,,,,0,mendeley
162,Pichler2018,article,"Pichler, Alois and Schlotter, Ruben",,,,{Entropy Based Risk Measures},,2018,,,,,Risk Measures,,,,,,0,mendeley
163,AonHewitt2015,article,{Aon Hewitt},,,,{2015 Retiree Health Care Survey},,2015,,,,,Aon,,,,,,0,mendeley
164,Elliott2016,book,"Elliott, Michael W.",,,1--12,{Big Data Analytics for Risk and Insurance},,2016,AICPCU,,,,Book,,,,,,0,mendeley
165,Witt1974,article,"Witt, Robert Charles",10.2307/252095,The Journal of Risk and Insurance,109,"{Pricing, Investment Income, and Underwriting Risk: A Stochastic View}",41,1974,,,,1,,,,,,,0,mendeley
166,Knispel2021,article,"Knispel, Thomas and Laeven, Roger J. A. and Svindland, Gregor",,,1--8,{Asymptotic Analysis of Risk Premia Induced by Law-Invariant Risk Measures},,2021,,http://arxiv.org/abs/2107.01730,,,,,,,,,0,mendeley
167,Nadarajah2019,article,"Nadarajah, Saralees and Chan, Stephen",10.1016/j.cam.2018.09.044,Journal of Computational and Applied Mathematics,187--196,{The exact distribution of the sum of stable random variables},349,2019,Elsevier B.V.,https://doi.org/10.1016/j.cam.2018.09.044,,,,,,,,,0,mendeley
168,Eeckhoudt1996,article,"Eeckhoudt, Louis R. and Gollier, Christian and Schlesinger, Harris",,Econometrica,683--689,{Changes in Background Risk and Risk-Taking Behavior},64,1996,,,,3,Gollier,,,,,,0,mendeley
169,Schaefer2008,article,"Schaefer, Stephen M. and Strebulaev, Ilya A.",10.1016/j.jfineco.2007.10.006,Journal of Financial Economics,1--19,{Structural models of credit risk are useful: Evidence from hedge ratios on corporate bonds},90,2008,,,,"1[1] S. M. Schaefer and I. A. Strebulaev, ""Structural models of credit risk are useful: Evidence from hedge ratios on corporate bonds,"" J. financ. econ., vol. 90, no. 1, pp. 1--19, 2008.",,,,,,,0,mendeley
170,Song2009,article,"Song, Yongsheng and Yan, Jia An",10.1016/j.insmatheco.2009.09.011,Insurance: Mathematics and Economics,459--465,{Risk measures with comonotonic subadditivity or convexity and respecting stochastic orders},45,2009,Elsevier B.V.,http://dx.doi.org/10.1016/j.insmatheco.2009.09.011,,3,,,,,,,0,mendeley
171,Embrechts2018,article,"Embrechts, Paul and Liu, Haiyan and Wang, Ruodu",10.2139/ssrn.3099067,SSRN Electronic Journal,,{Quantile-Based Risk Sharing},,2018,,,,,"Risk Sharing,WangR",,,,,,0,mendeley
172,Vitale1990,article,"Vitale, Richard A.",,Lecture Notes-Monograph Series,459--469,{On stochastic dependence and a class of degenerate distributions},,1990,"Institute of Mathematical Statistics, Hayward CA",http://projecteuclid.org/euclid.lnms/1215457581,,,,,,,,,0,mendeley
173,Abraham2012,techreport,"Abraham, Jon and Alfieri, Corey and Thiha, Kyaw",,,,"{Predictive Loss Ratio Modeling With Credit Scores, for Insurance Purposes}",,2012,,https://web.wpi.edu/Pubs/E-project/Available/E-project-042612-150045/unrestricted/Predictive_Loss_Ratio_Modeling.pdf,Worcester Polytechnic Institute,,,,,,"Worcester, MA",,0,mendeley
174,Serbenyuk2018,article,"Serbenyuk, S. O.",10.15407/mag14.02.197,"Journal of Mathematical Physics, Analysis, Geometry",197--213,{Non-differentiable functions defined in terms of classical representations of real numbers},14,2018,,,,2,,,,,,,0,mendeley
175,Major1999,incollection,"Major, John A.",,,104--105,{The Uncertain Nature of Catastrophe Modeling},,1999,,,,,"CMM,Major",Natural Disaster Management,,,,"Ingleton, Jon",0,mendeley
176,Feldblum1996,article,"Feldblum, Sholom",,Proceedings of the Casualty Actuarial Society,297----435,{NAIC Property/Casualty Insurance Company Risk-Based Capital Requirements},LXXXIII,1996,,,,,CMM,,,,,,0,mendeley
177,Ruszczynski2006,article,"Ruszczyński, Andrzej and Shapiro, Alexander",10.1287/moor.1050.0186,Mathematics of operations …,433--452,{Optimization of convex risk functions},31,2006,,http://pubsonline.informs.org/doi/abs/10.1287/moor.1050.0186,,3,Risk Measures,,,,,,0,mendeley
178,Robert2022,article,"Robert, Christian Y. and Denuit, Michel M.",,Annals of Actuarial Science,183--209,{Conditional mean risk sharing in the individual model with graphical dependencies},16,2022,,,,1,,,,,,,0,mendeley
179,Holmstrom1979,article,"Holmstrom, Bengt",10.2307/3003320,The Bell Journal of Economics,74--91,{Moral Hazard and Observability},10,1979,,,,1,,,,,,,0,mendeley
180,Marucho2006,article,"Marucho, M. and Canal, C. AGarcia and Fanchiotti, Huner",10.1142/S0129183106009928,International Journal of Modern Physics C,1461--1476,{The Landau distribution for charged particles traversing thin films},17,2006,,,,10,EDM-GLM,,,,,,0,mendeley
181,Chang2014,article,"Chang, Chia-Chien",10.1017/asb.2014.4,ASTIN Bulletin,303--334,{Valuation of Mortgage Insurance Contracts With Counterparty Default Risk: Reduced-Form Approach},44,2014,,http://www.journals.cambridge.org/abstract_S051503611400004X,,02,,,,mar,,,0,mendeley
182,Braun2016,article,"Braun, Alexander",10.1111/jori.12067,Journal of Risk and Insurance,811--847,{Pricing in the Primary Market for Cat Bonds: New Empirical Evidence},83,2016,,,,4,Risk Measures,,,,,,0,mendeley
183,HyltonJGHaynes2015,article,{Hylton JG Haynes},,Nfpa,7--12,{Fire loss in the United States during 2014},9/15,2015,,http://nfpaweb2.gvpi.net:8089/assets/files/PDF/OS.fireloss.pdf,,September,,,,,,,0,mendeley
184,Viazovska2016,article,"Viazovska, Maryna",,,1--23,{The sphere packing problem in dimension 8},,2016,,http://arxiv.org/abs/1603.04246,,,,,,,,,0,mendeley
185,JohYYYY,article,"John, St",,,,{The Journey to ORSA Begins - Assessing the Results of the 2015 ORSA Survey from St. John's University and Protiviti},,,,,,,,,,,,,0,mendeley
186,GomesGoncalves2015,article,"Gomes-Gonçalves, Erika and Gzyl, Henryk and Mayoral, Silvia",10.1016/j.insmatheco.2015.03.001,Insurance: Mathematics and Economics,,{Two maxentropic approaches to determine the probability density of compound risk losses},,2015,,,,,,,,,,,0,mendeley
187,FeldbluYYYY,article,"Feldblum, Sholom and Brosius, J. Eric",,Proceedings of the Casualty Actuarial Society,591--684,{The Minimum Bias Procedure A Practitioner's Guide},,,,,,,,,,,,,0,mendeley
188,Kleiber2013,article,"Kleiber, Christian",,,1--12,{The generalized lognormal distribution and the Stieltjes moment problem},,2013,,,,,,,,,,,0,mendeley
189,Ruhm2003,article,"Ruhm, David L. and Mango, Donald F.",,Bowles Symposium,,{A Risk Charge Calculation Based on Conditional Probability},,2003,,,,,,,,,,,0,mendeley
190,Plotkln1979,inproceedings,"Plotkln, Irving H.",10.1021/ie50228a040,,1395--1396,{Total Rate of Return and the Regulation of Insurance Profits},20,1979,Casualty Actuarial Society,,,12,,"Arthur D. Little, Inc",,,,,0,mendeley
191,Dhaene2007,article,"Dhaene, Jan and Henrard, L. and Landsman, Zinoviy M.",,,,{Some results on the CTE based capital allocation rule The CTE based allocation rule for elliptical distrib- utions Elliptical distributions},,2007,,,,2004,,,,,,,0,mendeley
192,Flaxman2020,article,"Flaxman, Seth and Mishra, Swapnil and Gandy, Axel and Unwin, H. Juliette T. and Coupland, Helen and Mellan, Thomas A. and Berah, Tresnia and Eaton, Jeffrey W. and Guzman, Pablo N. P. and Schmit, Nora and Cilloni, Lucia and Ainslie, Kylie E. C. and Blake, Isobel and Boonyasiri, Adhiratha and Boyd, Olivia and Cattarino, Lorenzo and Ciavarella, Constanze and Cooper, Laura and Cucunubá, Zulma and Cuomo-dannenburg, Gina and Dighe, Amy and Djaafara, Bimandra and Dorigatti, Ilaria and Elsland, Sabine Van",,,1--35,{Estimating the number of infections and the impact of non- pharmaceutical interventions on COVID-19 in 11 European countries},,2020,,,,March,,,,,,,0,mendeley
193,DiMartino2014,article,"DiMartino, Robert and Urbina, Wilfredo",,,1--16,{On Cantor-like sets and Cantor-Lebesgue singular functions},,2014,,http://arxiv.org/abs/1403.6554,,,,,,,,,0,mendeley
194,Avanzi2016,article,"Avanzi, Benjamin and Taylor, Greg and Wong, Bernard",10.1017/asb.2015.31,ASTIN Bulletin,225--263,{Correlations between insurance lines of business: An illusion or a real phenomenon? some methodological considerations},46,2016,,https://www.cambridge.org/core/article/correlations-between-insurance-lines-of-business-an-illusion-or-a-real-phenomenon-some-methodological-considerations/5BBB6C52A882572B4F4D587984ED10A7,,2,CMM,,,,,,0,mendeley
195,Grubel1999,article,"Grübel, Rudolf and Hermesmeier, Renate",10.2143/AST.29.2.504611,Astin Bulletin,197--214,{Computation of Compound Distributions I: Aliasing Errors and Exponential Tilting},29,1999,,,,2,FFT,,,,,,0,mendeley
196,Drapeau2013,article,"Drapeau, Samuel and Kupper, Michael",10.1287/moor.1120.0560,Mathematics of Operations Research,28--62,{Risk Preferences and Their Robust Representation},38,2013,,http://0-pubsonline.informs.org.pugwash.lib.warwick.ac.uk/doi/abs/10.1287/moor.1120.0560,,1,,,,,,,0,mendeley
197,Rampini2010,article,"Rampini, Adriano a and Viswanathan, S. ""Vish""",10.1111/j.1540-6261.2010.01616.x,Journal of Finance,2293--2322,"{Collateral, risk management, and the distribution of debt capacity}",65,2010,,,,March,,,,,,,0,mendeley
198,Karter2011,book,"Karter, M. J.",,,,{Fire loss in the United States during 2010},,2011,National Fire Protection Association,,,,,,,,,,0,mendeley
199,Weron1996,article,"Weron, Rafal",,Statistics and Probability Letters,,{On the Chambers-Mallows-Struck method for simulating skewed stable random variables},,1996,,,,,,,,,,,0,mendeley
200,Shen2024,article,"Shen, Yi and {Van Oosten}, Zachary and Wang, Ruodu",,,1--51,{Partially Law-Invariant Risk Measures},,2024,,http://arxiv.org/abs/2401.17265,,June,WangR,,,,,,0,mendeley
201,Godley2007,misc,"Godley, Wynne and Lavoie, Marc",,,,{Fiscal policy in a stock-flow consistent model },,2007,,,,,Modern Monetary Theory,Levy Institute,,,,,0,mendeley
202,Edwards2010,article,"Edwards, Julia B. and McKinnon, Alan C. and Cullinane, Sharon L.",10.1108/09600031011018055,International Journal of Physical Distribution and Logistics Management,103--123,"{Comparative analysis of the carbon footprints of conventional and online retailing: A ""last mile"" perspective}",40,2010,,,,1-2,,,,,,,0,mendeley
203,Forster2009,article,"Forster, Thomas",,Continuum,1--38,{A Tutorial on Countable Ordinals},,2009,,,,,,,,,,,0,mendeley
204,Venter1989,article,"Venter, Gary G.",,CAS Forum,19--38,{Easier algorithms for aggregate excess},Fall,1989,,,,,FFT,,,,,,0,mendeley
205,MorganStanley2014,article,{Morgan Stanley},,,,{Insurance and Technology Evolution and Revolution in a Digital World},,2014,,,,,,,,,,,0,mendeley
206,Shiryaev1999,book,"Shiryaev, Albert N.",,,,"{Essentials of Stochastic Finance: Facts, Models, Theory}",,1999,World Scientific,,,,Book,,,,Singapore,,0,mendeley
207,AitSahalia2011,article,"Aït-Sahalia, Yacine and Jacod, Jean",10.1214/11-AOS873,Annals of Statistics,1689--1719,{Testing whether jumps have finite or infinite activity},39,2011,,,,3,,,,,,,0,mendeley
208,Khovratovich2016,article,"Khovratovich, Dmitry and Law, Jason",,Github Commit by jasonalaw October,,{Sovrin: digital identities in the blockchain era},,2016,,https://sovrin.org/wp-content/uploads/AnonCred-RWC.pdf,,,,,,,,,0,mendeley
